StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3
2024-04-30 09:58:56,2024-04-30 09:59:32,0,128.250.0.195,100,35,1,2024-04-30 09:59:33,R_4hhJCXdqEwKUNlR,,,,,-37.8159,144.9669,anonymous,EN,9,1,,24,1,5,4,2
2024-04-30 10:52:25,2024-04-30 10:54:56,0,128.250.0.195,100,150,1,2024-04-30 10:54:56,R_4QGjfOVGbIYbodq,,,,,-37.8159,144.9669,anonymous,EN,10,1,,23,1,5,7,4
2024-05-01 10:46:10,2024-05-01 10:46:50,0,128.250.0.195,100,40,1,2024-05-01 10:46:51,R_45yWMBbk6B89LUK,,,,,-37.8159,144.9669,anonymous,EN,11,2,,25,1,6,5,2
2024-05-01 12:00:59,2024-05-01 12:01:23,0,128.250.0.195,100,24,1,2024-05-01 12:01:24,R_42XnqqoJVAmTAYT,,,,,-37.8159,144.9669,anonymous,EN,12,1,,25,1,4,1,7
2024-05-01 14:04:14,2024-05-01 14:04:46,0,128.250.0.55,100,32,1,2024-05-01 14:04:47,R_4rmURb7l5NatuQp,,,,,-37.8159,144.9669,qr,EN,13,1,,24,1,6,1,1
2024-05-01 15:28:39,2024-05-01 15:29:18,0,128.250.0.55,100,38,1,2024-05-01 15:29:19,R_4Jhi5uAnDjA7UkA,,,,,-37.8159,144.9669,qr,EN,14,1,,22,1,6,6,6
2024-05-01 16:32:42,2024-05-01 16:33:18,0,128.250.0.55,100,35,1,2024-05-01 16:33:19,R_4kUHpwwFUQuImd8,,,,,-37.8159,144.9669,qr,EN,15,1,,23,3,7,7,7
2024-05-01 17:50:00,2024-05-01 17:50:24,0,128.250.0.55,100,24,1,2024-05-01 17:50:25,R_4w5D0RLWj4TLCgs,,,,,-37.8159,144.9669,qr,EN,16,2,,37,1,6,6,4
2024-05-02 10:38:18,2024-05-02 10:38:40,0,128.250.0.55,100,21,1,2024-05-02 10:38:40,R_4XbQtPK66f69N05,,,,,-37.8159,144.9669,qr,EN,17,1,,19,1,5,6,1
2024-05-02 11:50:56,2024-05-02 11:51:36,0,128.250.0.55,100,40,1,2024-05-02 11:51:37,R_4PpEi0Pd3JFaXWB,,,,,-37.8159,144.9669,qr,EN,18,1,,18,1,7,4,4
2024-05-02 14:15:00,2024-05-02 14:15:34,0,128.250.0.55,100,34,1,2024-05-02 14:15:35,R_4LdjJQVBPsqYphk,,,,,-37.8159,144.9669,qr,EN,19,1,,20,1,5,1,5
2024-05-02 15:13:05,2024-05-02 15:13:46,0,128.250.0.55,100,40,1,2024-05-02 15:13:46,R_4bKnaVIfGuLfKgN,,,,,-37.8159,144.9669,qr,EN,20,1,,23,1,6,1,1
2024-05-02 16:33:52,2024-05-02 16:34:16,0,128.250.0.55,100,24,1,2024-05-02 16:34:17,R_4zhCeTurGlk0XOA,,,,,-37.8159,144.9669,qr,EN,21,1,,30,1,5,5,3
2024-05-03 10:59:35,2024-05-03 11:00:24,0,128.250.0.55,100,48,1,2024-05-03 11:00:24,R_45Mj7kzIk3wAYgN,,,,,-37.8159,144.9669,qr,EN,23,1,,23,1,3,2,4
2024-05-03 11:58:39,2024-05-03 11:59:05,0,128.250.0.55,100,25,1,2024-05-03 11:59:05,R_4xK60jtAt6uRs6E,,,,,-37.8159,144.9669,qr,EN,24,2,,23,1,7,1,1
2024-05-03 14:33:04,2024-05-03 14:34:25,0,128.250.0.126,100,81,1,2024-05-03 14:34:26,R_48SQeDcmQD557yr,,,,,-37.8159,144.9669,anonymous,EN,25,2,,23,1,6,3,6
